run_id,experiment,task,peft_method,precision,lora_rank,prefix_num_virtual_tokens,seed,max_steps,learning_rate,per_device_train_batch_size,gradient_accumulation_steps,max_seq_length,task_acc,task_acc_norm,eval_n,trainable_params,total_params,trainable_pct,peak_vram_gb,train_seconds,eval_seconds,train_tokens_per_sec,acc_per_param,acc_per_gpu_hour
exp3__prefix20__gsm8k__seed1,exp3,gsm8k,prefix,bf16,,20,1,3000,0.001,4,8,512,0.242,,500,286720,1544001024,0.018569935870716106,11.419664384,2297.775151317939,821.708067020867,7774.791188664956,8.440290178571428e-07,0.37914936955441625
exp3__prefix20__gsm8k__seed2,exp3,gsm8k,prefix,bf16,,20,2,3000,0.001,4,8,512,0.298,,500,286720,1544001024,0.018569935870716106,11.421110272,2238.1034183958545,772.8717375863343,7982.080655059461,1.0393415178571428e-06,0.4793344182320771
exp3__ia3__hellaswag__seed1,exp3,hellaswag,ia3,bf16,,,1,2000,0.003,8,4,256,0.484,0.6105,2000,265216,1543979520,0.017177429918241404,9.14233856,693.6521202549338,40.63469567988068,7142.684142851157,2.3018973214285714e-06,3.168447029603623
exp3__ia3__hellaswag__seed0,exp3,hellaswag,ia3,bf16,,,0,2000,0.003,8,4,256,0.488,0.613,2000,265216,1543979520,0.017177429918241404,9.14233856,713.4863376431167,40.56054310919717,6944.124559366464,2.3113236003861003e-06,3.092981439966736
exp3__prefix20__hellaswag__seed0,exp3,hellaswag,prefix,bf16,,20,0,2000,0.001,8,4,256,0.382,0.45,2000,286720,1544001024,0.018569935870716106,7.941151744,649.2911233729683,37.21813222998753,7630.688025214224,1.5694754464285714e-06,2.495028719296742
exp3__ia3__hellaswag__seed2,exp3,hellaswag,ia3,bf16,,,2,2000,0.003,8,4,256,0.4835,0.6115,2000,265216,1543979520,0.017177429918241404,9.14233856,694.8051116396673,40.33144679386169,7130.831246056623,2.305667833011583e-06,3.168370472699786
exp3__prefix20__hellaswag__seed2,exp3,hellaswag,prefix,bf16,,20,2,2000,0.001,8,4,256,0.397,0.4695,2000,286720,1544001024,0.018569935870716106,7.941151744,625.5786296920851,35.96555549278855,7919.928470764201,1.6374860491071428e-06,2.701818636023309
exp3__prefix20__hellaswag__seed1,exp3,hellaswag,prefix,bf16,,20,1,2000,0.001,8,4,256,0.3735,0.434,2000,286720,1544001024,0.018569935870716106,7.940447232,648.0131864100695,36.39019466890022,7645.736389173903,1.513671875e-06,2.411062047449289
exp3__ia3__sst2__seed1,exp3,sst2,ia3,bf16,,,1,1000,0.003,16,2,128,0.9495412844036697,0.9495412844036697,872,265216,1543979520,0.017177429918241404,8.731348992,155.67828534496948,15.530883038882166,3854.0956349207895,3.580256411391732e-06,21.957774112673768
exp3__ia3__sst2__seed2,exp3,sst2,ia3,bf16,,,2,1000,0.003,16,2,128,0.9518348623853211,0.9518348623853211,872,265216,1543979520,0.017177429918241404,8.610781184,150.06310812896118,15.47404293436557,3998.311160424407,3.5889043737380894e-06,22.834429776320516
exp3__prefix20__sst2__seed2,exp3,sst2,prefix,bf16,,20,2,1000,0.001,16,2,128,0.5103211009174312,0.5103211009174312,872,286720,1544001024,0.018569935870716106,7.556412416,136.43983694305643,16.456695917993784,4397.53530525261,1.7798587504095675e-06,13.464952791386688
exp3__prefix20__sst2__seed1,exp3,sst2,prefix,bf16,,20,1,1000,0.001,16,2,128,0.5172018348623854,0.5172018348623854,872,286720,1544001024,0.018569935870716106,7.613277184,141.44463251903653,14.857003137934953,4241.935443674388,1.803856845920708e-06,13.163642708421595
